ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
671573139;13.03.2019;BMW;3;320d Standart ;2006;1;0;228.000;2;163;1995;sedan;80.250
672337875;15.03.2019;BMW;3;320d Standart ;2014;1;0;57.000;1;184;1995;sedan;170.000
637520963;19.03.2019;BMW;3;320d Standart ;2005;1;0;323.000;2;175;1995;sedan;65.000
666776214;13.03.2019;BMW;3;320d Standart ;2006;1;0;260.000;2;175;1995;sedan;71.250
671484343;15.03.2019;BMW;3;320d Standart ;2005;1;0;258.983;2;163;1995;sedan;71.000
671464500;13.03.2019;BMW;3;320d Standart ;2005;1;0;288.000;2;150;1995;sedan;48.000
672251601;15.03.2019;BMW;3;320d Standart ;2004;1;0;191.000;6;150;1995;sedan;63.000
636159992;15.03.2019;BMW;3;320d Standart ;2006;1;0;218.000;6;163;1995;sedan;69.000
671454604;13.03.2019;BMW;3;320d Standart ;1998;1;1;154.000;6;136;1951;sedan;50.000
672198713;15.03.2019;BMW;3;320d Standart ;2004;1;0;266.000;5;150;1995;sedan;64.750
671262938;12.03.2019;BMW;3;320d Standart ;2006;1;0;245.000;2;163;1995;sedan;70.550
497858079;18.03.2019;BMW;3;320d Standart ;2006;1;0;260.000;2;175;1995;sedan;68.500
672378690;15.03.2019;BMW;3;320d Standart ;2006;1;0;177.000;2;163;1995;sedan;75.000
659528684;13.03.2019;BMW;3;320d Standart ;2006;1;0;192.000;2;163;1995;sedan;70.000
617160265;15.03.2019;BMW;3;320d Standart ;2010;1;0;204.000;1;184;1995;sedan;86.500
671213579;12.03.2019;BMW;3;320d Standart ;2005;1;0;197.000;3;150;1995;sedan;59.750
671604724;13.03.2019;BMW;3;320d Standart ;2011;1;0;125.000;1;184;1995;sedan;94.999
671965032;14.03.2019;BMW;3;320d Standart ;2008;1;0;188.000;2;177;1995;sedan;69.000
671132846;12.03.2019;BMW;3;320d Standart ;2003;1;0;239.000;2;150;1995;sedan;48.500
671134509;12.03.2019;BMW;3;320d Standart ;2005;1;0;313.000;6;150;1995;sedan;52.000
586982355;12.03.2019;BMW;3;320d Standart ;2008;1;0;230.000;2;177;1995;sedan;66.000
671058664;12.03.2019;BMW;3;320d Standart ;2007;1;0;246.000;2;163;1995;sedan;78.000
671629078;14.03.2019;BMW;3;320d Standart ;2006;1;0;244.000;1;163;1995;sedan;73.550
670884913;12.03.2019;BMW;3;320d Standart ;2006;1;0;280.000;7;163;1995;sedan;61.500
659941125;14.03.2019;BMW;3;320d Standart ;2009;1;0;237.000;1;177;1995;sedan;137.000
594292060;11.03.2019;BMW;3;320d Standart ;2010;1;0;196.000;1;177;1995;sedan;119.000
671313679;13.03.2019;BMW;3;320d Standart ;2013;1;0;121.000;2;184;1995;sedan;112.000
671530004;13.03.2019;BMW;3;320d Standart ;2004;1;0;285.000;2;150;1995;sedan;54.900
625487112;15.03.2019;BMW;3;320d Standart ;2013;1;0;138.000;2;184;1995;sedan;139.500
674380328;20.03.2019;BMW;3;320d Standart ;2010;1;0;362.000;1;177;1995;sedan;72.500
507796498;16.03.2019;BMW;3;320d Standart ;2011;1;0;196.000;1;177;1995;sedan;87.500
671435269;13.03.2019;BMW;3;320d Standart ;2005;1;0;278.000;7;163;1995;sedan;66.000
670646985;11.03.2019;BMW;3;320d Standart ;2005;1;0;345.000;2;175;1995;sedan;54.000
650738659;10.03.2019;BMW;3;320d Standart ;2002;1;0;152.000;3;150;1995;sedan;52.000
671120969;12.03.2019;BMW;3;320d Standart ;2002;1;0;190.000;2;175;1995;sedan;77.000
671121453;12.03.2019;BMW;3;320d Standart ;2004;1;0;146.000;3;177;1995;sedan;96.000
621295612;15.03.2019;BMW;3;320d Standart ;2007;1;0;295.000;2;177;1995;sedan;74.000
554651277;14.03.2019;BMW;3;320d Standart ;2006;1;0;250.000;2;163;1995;sedan;66.500
671049433;12.03.2019;BMW;3;320d Standart ;2011;1;0;214.000;15;184;1995;sedan;105.000
670885035;12.03.2019;BMW;3;320d Standart ;2006;1;0;290.000;2;163;1995;sedan;59.500
671806975;14.03.2019;BMW;3;320d Standart ;2013;1;0;240.000;2;184;1995;sedan;112.500
622361264;10.03.2019;BMW;3;320d Standart ;2011;1;0;119.000;1;184;1995;sedan;109.000
670142845;09.03.2019;BMW;3;320d Standart ;2010;1;0;232.000;1;184;1995;sedan;83.000
670126434;09.03.2019;BMW;3;320d Standart ;2009;1;0;245.000;2;177;1995;sedan;73.000
672072126;14.03.2019;BMW;3;320d Standart ;2007;1;0;220.000;3;177;1995;sedan;68.500
670774295;11.03.2019;BMW;3;320d Standart ;2001;1;0;214.000;1;184;1995;sedan;70.000
671672273;13.03.2019;BMW;3;320d Standart ;2003;1;1;380.000;6;150;1995;sedan;41.500
657701751;09.03.2019;BMW;3;320d Standart ;2013;1;0;114.000;2;184;1995;sedan;135.000
655748903;11.03.2019;BMW;3;320d Standart ;2010;1;0;190.000;1;184;1995;sedan;95.000
668195560;09.03.2019;BMW;3;320d Standart ;2005;1;0;250.000;2;150;1995;sedan;48.500
670788976;11.03.2019;BMW;3;320d Standart ;2005;1;0;330.000;7;163;1995;sedan;68.500
669971669;09.03.2019;BMW;3;320d Standart ;2015;1;0;91.000;1;190;1995;sedan;135.000
601850449;09.03.2019;BMW;3;320d Standart ;2004;1;0;135.000;1;184;1995;sedan;103.500
631160951;09.03.2019;BMW;3;320d Standart ;2006;1;0;265.000;2;150;1995;sedan;50.000
670674667;10.03.2019;BMW;3;320d Standart ;2002;1;0;146.000;6;150;1995;sedan;78.000
671438567;13.03.2019;BMW;3;320d Standart ;1999;1;0;307.000;5;136;1995;sedan;36.000
485585858;10.03.2019;BMW;3;320d Standart ;2005;1;0;235.000;5;163;1995;sedan;68.500
670417807;10.03.2019;BMW;3;320d Standart ;2004;1;0;200.000;7;150;1995;sedan;50.000
605443130;13.03.2019;BMW;3;320d Standart ;2010;1;0;206.000;2;184;1995;sedan;98.000
519734150;10.03.2019;BMW;3;320d Standart ;2004;1;0;215.000;2;150;1995;sedan;56.000
671605253;13.03.2019;BMW;3;320d Standart ;2007;1;0;257.000;7;163;1995;sedan;74.000
657734074;10.03.2019;BMW;3;320d Standart ;2008;1;0;245.000;1;177;1995;sedan;89.000
662027671;10.03.2019;BMW;3;320d Standart ;2006;1;0;237.000;3;163;1995;sedan;73.000
659413426;13.03.2019;BMW;3;320d Standart ;2011;1;0;350.000;1;184;1995;sedan;69.000
669563833;08.03.2019;BMW;3;320d Standart ;2010;1;0;250.000;2;184;1995;sedan;77.000
669450505;08.03.2019;BMW;3;320d Standart ;2011;1;0;149.000;2;184;1995;sedan;94.000
660712573;16.03.2019;BMW;3;320d Standart ;2012;1;0;220.000;1;184;1995;sedan;92.500
669664134;08.03.2019;BMW;3;320d Standart ;2006;1;0;303.000;2;175;2000;sedan;63.500
669637408;08.03.2019;BMW;3;320d Standart ;2010;1;0;182.000;2;184;1995;sedan;93.000
669649259;08.03.2019;BMW;3;320d Standart ;2010;1;0;237.000;1;184;1995;sedan;86.000
670159022;10.03.2019;BMW;3;320d Standart ;2008;1;0;174.000;1;177;1995;sedan;109.000
637909549;12.03.2019;BMW;3;320d Standart ;2004;1;0;307.000;6;150;1995;sedan;50.000
669459203;08.03.2019;BMW;3;320d Standart ;2005;1;0;231.000;6;163;1995;sedan;79.000
670167236;10.03.2019;BMW;3;320d Standart ;2005;1;0;157.000;2;150;1995;sedan;40.000
670793088;11.03.2019;BMW;3;320d Standart ;2007;1;0;246.000;2;163;1995;sedan;67.000
670069196;09.03.2019;BMW;3;320d Standart ;2008;1;0;211.000;2;177;1995;sedan;110.000
670765176;11.03.2019;BMW;3;320d Standart ;2010;1;0;225.000;2;184;1995;sedan;84.500
636203811;09.03.2019;BMW;3;320d Standart ;2006;1;0;293.000;1;163;1995;sedan;79.000
669311380;07.03.2019;BMW;3;320d Standart ;2009;1;0;198.000;1;177;1995;sedan;103.000
656758836;07.03.2019;BMW;3;320d Standart ;2008;1;0;214.000;2;177;1995;sedan;101.000
669979146;09.03.2019;BMW;3;320d Standart ;2010;1;0;202.000;2;177;1995;sedan;93.000
621734771;11.03.2019;BMW;3;320d Standart ;2006;1;0;210.000;6;163;1995;sedan;68.500
630835848;17.03.2019;BMW;3;320d Standart ;2006;1;0;270.000;2;163;1995;sedan;68.750
655988307;14.03.2019;BMW;3;320d Standart ;2011;1;0;320.000;1;184;1995;sedan;93.500
658080894;11.03.2019;BMW;3;320d Standart ;2007;1;0;268.000;2;177;1995;sedan;72.900
669102999;07.03.2019;BMW;3;320d Standart ;2006;1;0;185.000;3;163;1995;sedan;52.000
669090254;06.03.2019;BMW;3;320d Standart ;2013;1;0;130.000;1;184;1995;sedan;147.000
602497835;08.03.2019;BMW;3;320d Standart ;2011;1;0;190.000;2;184;1995;sedan;114.000
669010826;06.03.2019;BMW;3;320d Standart ;2006;1;0;241.000;2;175;1995;sedan;80.000
669684720;08.03.2019;BMW;3;320d Standart ;2003;1;0;247.000;8;150;1995;sedan;53.000
622338364;09.03.2019;BMW;3;320d Standart ;2004;1;0;240.000;3;150;1995;sedan;56.990
511290969;06.03.2019;BMW;3;320d Standart ;2003;1;0;265.800;4;150;1995;sedan;47.500
669719824;08.03.2019;BMW;3;320d Standart ;2010;1;0;142.000;3;177;1995;sedan;142.000
659351462;13.03.2019;BMW;3;320d Standart ;2002;1;0;207.000;6;150;1995;sedan;50.500
668909038;06.03.2019;BMW;3;320d Standart ;2012;1;0;120.000;1;184;1995;sedan;140.000
671158185;12.03.2019;BMW;3;320d Standart ;2006;1;0;235.000;2;163;1995;sedan;73.000
668975104;06.03.2019;BMW;3;320d Standart ;2011;1;0;143.027;1;184;1995;sedan;105.750
628680518;08.03.2019;BMW;3;320d Standart ;2006;1;0;187.000;10;163;1995;sedan;74.000
618877694;08.03.2019;BMW;3;320d Standart ;2013;1;0;75.000;1;184;1995;sedan;145.000
656841070;08.03.2019;BMW;3;320d Standart ;2010;1;0;260.000;2;184;1995;sedan;82.500
659852710;14.03.2019;BMW;3;320d Standart ;2011;1;0;199.000;2;184;1995;sedan;84.500
632236948;06.03.2019;BMW;3;320d Standart ;2006;1;0;239.000;2;163;1995;sedan;65.000
656242827;06.03.2019;BMW;3;320d Standart ;2011;1;0;131.000;2;200;1995;sedan;116.500
643311544;06.03.2019;BMW;3;320d Standart ;2009;1;0;153.568;2;177;1995;sedan;120.000
654476994;11.03.2019;BMW;3;320d Standart ;2013;1;0;120.000;2;184;1995;sedan;125.000
633557033;10.03.2019;BMW;3;320d Standart ;2003;1;0;235.000;3;150;1995;sedan;61.500
671535568;13.03.2019;BMW;3;320d Standart ;2006;1;0;230.000;2;163;1995;sedan;68.500
669413635;07.03.2019;BMW;3;320d Standart ;2013;1;0;150.000;10;184;1995;sedan;132.000
614457187;12.03.2019;BMW;3;320d Standart ;2010;1;0;106.000;1;177;1995;sedan;127.950
671994165;14.03.2019;BMW;3;320d Standart ;2008;1;0;270.000;2;177;1995;sedan;69.000
671560172;13.03.2019;BMW;3;320d Standart ;2010;1;0;216.000;2;177;1995;sedan;73.950
669392395;07.03.2019;BMW;3;320d Standart ;2006;1;0;345.000;2;163;1995;sedan;62.000
668575522;05.03.2019;BMW;3;320d Standart ;2006;1;0;230.000;2;163;1995;sedan;63.000
674310812;20.03.2019;BMW;3;320d Standart ;2015;1;0;187.876;2;184;1995;sedan;139.000
674070223;19.03.2019;BMW;3;320d Standart ;2008;1;0;230.000;8;175;1995;sedan;75.000
674063248;19.03.2019;BMW;3;320d Standart ;2005;1;0;290.000;2;163;1995;sedan;72.000
668104456;04.03.2019;BMW;3;320d Standart ;2012;1;0;242.000;2;184;1995;sedan;95.900
622740950;08.03.2019;BMW;3;320d Standart ;2003;1;0;370.000;7;150;1995;sedan;57.500
660229987;13.02.2019;BMW;3;320d Standart ;2010;1;0;195.000;2;184;1995;sedan;86.500
669281507;07.03.2019;BMW;3;320d Standart ;2012;1;0;200.000;2;184;1995;sedan;111.900
594284668;07.03.2019;BMW;3;320d Standart ;2010;1;0;155.000;1;184;1995;sedan;107.000
