ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
685032930;17.04.2019;BMW;3;320d Standart ;2005;1;0;236.000;2;150;1995;sedan;51.900
635538347;17.04.2019;BMW;3;320d Standart ;2005;1;0;309.000;2;150;1995;sedan;74.200
684769905;16.04.2019;BMW;3;320d Standart ;2006;1;0;270.000;2;163;1995;sedan;75.000
673122492;16.04.2019;BMW;3;320d Standart ;2010;1;0;235.000;6;177;1995;sedan;132.500
684762780;16.04.2019;BMW;3;320d Standart ;2011;1;0;101.500;1;184;1995;sedan;104.900
684750779;16.04.2019;BMW;3;320d Standart ;2007;1;0;274.000;6;163;1995;sedan;72.500
684751110;16.04.2019;BMW;3;320d Standart ;2003;1;0;268.000;1;150;1995;sedan;59.900
664201727;16.04.2019;BMW;3;320d Standart ;2010;1;0;95.500;1;184;1995;sedan;115.000
684700182;16.04.2019;BMW;3;320d Standart ;2008;1;0;174.000;2;177;1995;sedan;128.000
650695467;16.04.2019;BMW;3;320d Standart ;2013;1;0;134.000;2;184;1995;sedan;132.000
672903843;16.04.2019;BMW;3;320d Standart ;2006;1;0;250.000;2;163;1995;sedan;77.500
684384464;15.04.2019;BMW;3;320d Standart ;2006;1;0;184.000;7;163;1995;sedan;82.000
623076872;15.04.2019;BMW;3;320d Standart ;2011;1;0;165.000;1;184;1995;sedan;95.000
684347125;15.04.2019;BMW;3;320d Standart ;2006;1;0;158.000;6;163;1995;sedan;78.800
600905274;15.04.2019;BMW;3;320d Standart ;2007;1;0;247.500;6;175;2000;sedan;73.500
661586772;17.04.2019;BMW;3;320d Standart ;2006;1;0;312.000;6;163;1995;sedan;50.999
660712573;16.04.2019;BMW;3;320d Standart ;2012;1;0;220.000;1;184;1995;sedan;95.750
684289095;15.04.2019;BMW;3;320d Standart ;2006;1;0;220.000;1;163;1995;sedan;77.000
625707102;15.04.2019;BMW;3;320d Standart ;2008;1;0;228.000;1;177;1995;sedan;92.500
677889052;15.04.2019;BMW;3;320d Standart ;2000;1;0;189.000;3;136;1951;sedan;52.500
684470194;16.04.2019;BMW;3;320d Standart ;2008;1;0;169.000;2;177;1995;sedan;86.000
